db_root.ui_bgm_id,db_root.stream_set_id,msbt_bgm.title,msbt_bgm.author,msbt_bgm.copyright,db_root.rarity,db_root.ui_gametitle_id,msbt_game.gametitle,db_root.ui_gametitle_id_1,db_root.ui_gametitle_id_2,db_root.ui_gametitle_id_3,db_root.ui_gametitle_id_4,db_root.name_id,db_root.save_no,db_root.test_disp_order,db_root.menu_value,db_root.jp_region,db_root.other_region,db_root.possessed,db_root.prize_lottery,db_root.shop_price,db_root.count_target,db_root.menu_loop,db_root.is_selectable_stage_make,db_root.is_selectable_video_edit,db_root.is_selectable_original,db_root.is_dlc,db_root.is_patch,db_root.dlc_ui_chara_id,db_root.dlc_mii_hat_motif_id,db_root.dlc_mii_body_motif_id,stream_set.stream_set_id,stream_set.special_category,stream_set.info0,stream_set.info1,stream_set.info2,stream_set.info3,stream_set.info4,stream_set.info5,stream_set.info6,stream_set.info7,stream_set.info8,stream_set.info9,stream_set.info10,stream_set.info11,stream_set.info12,stream_set.info13,stream_set.info14,stream_set.info15,assigned_info.info_id,assigned_info.stream_id,assigned_info.condition,assigned_info.condition_process,assigned_info.start_frame,assigned_info.change_fadein_frame,assigned_info.change_start_delay_frame,assigned_info.change_fadeout_frame,assigned_info.change_stop_delay_frame,assigned_info.menu_change_fadein_frame,assigned_info.menu_change_start_delay_frame,assigned_info.menu_change_fadeout_frame,assigned_info.menu_change_stop_delay_frame,stream_property.stream_id,stream_property.data_name0,stream_property.data_name1,stream_property.data_name2,stream_property.data_name3,stream_property.data_name4,stream_property.loop,stream_property.end_point,stream_property.fadeout_frame,stream_property.start_point_suddendeath,stream_property.start_point_transition,stream_property.start_point0,stream_property.start_point1,stream_property.start_point2,stream_property.start_point3,stream_property.start_point4,bgm_property.name_id,bgm_property.loop_start_ms,bgm_property.loop_start_sample,bgm_property.loop_end_ms,bgm_property.loop_end_sample,bgm_property.total_time_ms,bgm_property.total_samples,bgm_property.frequency,bgm_property.volume,bgm_property.filename,mod.source,mod.mod_path
ui_bgm_a10_malrpg2_zarazarasabaku,set_a10_malrpg2_zarazarasabaku,Gritzy Desert,Arrangement Supervisor: Yoko Shimomura,"Composition: Midiplex Co., Ltd.
Arrangement: Midiplex Co., Ltd.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mario_luigi_rpg2,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0609,994,64,243,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a10_malrpg2_zarazarasabaku,,info_a10_malrpg2_zarazarasabaku,,,,,,,,,,,,,,,,info_a10_malrpg2_zarazarasabaku,stream_a10_malrpg2_zarazarasabaku,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a10_malrpg2_zarazarasabaku,a10_malrpg2_zarazarasabaku,,,,,1,00:00:16.608,400,00:00:07.730,00:00:07.730,,,,,,a10_malrpg2_zarazarasabaku,9686,464932,94848,4552686,94848,4552718,48000,-2.7,Resources\Game\stream;\sound\bgm\bgm_a10_malrpg2_zarazarasabaku.nus3audio,Core,
ui_bgm_a13_sms_dolpiktown,set_a13_sms_dolpiktown,Delfino Plaza,,Composition and arrangement Copyright Nintendo,bgm_rarity_0,ui_gametitle_super_mario_sunshine,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0581,8,36,241,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a13_sms_dolpiktown,,info_a13_sms_dolpiktown,,,,,,,,,,,,,,,,info_a13_sms_dolpiktown,stream_a13_sms_dolpiktown,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a13_sms_dolpiktown,a13_sms_dolpiktown,,,,,1,00:00:16.924,400,,00:00:09.848,,,,,,a13_sms_dolpiktown,10724,514764,168579,8091803,168631,8094288,48000,2.6,Resources\Game\stream;\sound\bgm\bgm_a13_sms_dolpiktown.nus3audio,Core,
ui_bgm_a14_sms_riccoharbor,set_a14_sms_riccoharbor,Ricco Harbor,,Composition and arrangement Copyright Nintendo,bgm_rarity_0,ui_gametitle_super_mario_sunshine,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0582,9,37,242,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a14_sms_riccoharbor,,info_a14_sms_riccoharbor,,,,,,,,,,,,,,,,info_a14_sms_riccoharbor,stream_a14_sms_riccoharbor,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a14_sms_riccoharbor,a14_sms_riccoharbor,,,,,1,00:00:12.475,400,,00:00:07.131,,,,,,a14_sms_riccoharbor,2072,99439,116188,5577023,116190,5577099,47999,2.8,Resources\Game\stream;\sound\bgm\bgm_a14_sms_riccoharbor.nus3audio,Core,
ui_bgm_a15_sm64_maintheme,set_a15_sm64_maintheme,Main Theme - Super Mario 64,,Composition and arrangement Copyright Nintendo,bgm_rarity_0,ui_gametitle_super_mario_64,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0577,10,32,233,True,True,False,True,300,True,1,True,True,True,False,False,,,,set_a15_sm64_maintheme,,info_a15_sm64_maintheme,,,,,,,,,,,,,,,,info_a15_sm64_maintheme,stream_a15_sm64_maintheme,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a15_sm64_maintheme,a15_sm64_maintheme,,,,,2,00:00:14.322,400,,00:00:03.947,,,,,,a15_sm64_maintheme,5864,281491,73893,3546886,73895,3546936,47999,0.4,Resources\Game\stream;\sound\bgm\bgm_a15_sm64_maintheme.nus3audio,Core,
ui_bgm_a17_mb_mariobrothers,set_a17_mb_mariobrothers,Mario Bros.,Arrangement Supervisor: Shogo Sakai,"Composition: Nintendo
Arrangement: HAL Laboratory, Inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mario_brothers,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0629,11,88,200,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a17_mb_mariobrothers,,info_a17_mb_mariobrothers,,,,,,,,,,,,,,,,info_a17_mb_mariobrothers,stream_a17_mb_mariobrothers,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a17_mb_mariobrothers,a17_mb_mariobrothers,,,,,2,00:00:13.542,400,,00:00:10.108,,,,,,a17_mb_mariobrothers,10427,500505,63714,3058278,63728,3058944,48000,2.7,Resources\Game\stream;\sound\bgm\bgm_a17_mb_mariobrothers.nus3audio,Core,
ui_bgm_a20_smk_mariocircuit,set_a20_smk_mariocircuit,Mario Circuit - Super Mario Kart,Arrangement Supervisor: Yusuke Takahama,"Composition: Nintendo
Arrangement: TARGET ENTERTAINMENT INC.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_super_mario_kart,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0361,12,96,401,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a20_smk_mariocircuit,,info_a20_smk_mariocircuit,,,,,,,,,,,,,,,,info_a20_smk_mariocircuit,stream_a20_smk_mariocircuit,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a20_smk_mariocircuit,a20_smk_mariocircuit,,,,,1,00:00:12.764,400,,00:00:05.312,,,,,,a20_smk_mariocircuit,6854,328978,72159,3463611,72161,3463704,47999,3.5,Resources\Game\stream;\sound\bgm\bgm_a20_smk_mariocircuit.nus3audio,Core,
ui_bgm_a21_mk64_luigicircuit,set_a21_mk64_luigicircuit,Luigi Raceway - Mario Kart 64,Arrangement: Yasufumi Fukuda,"Composition: Nintendo
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mario_kart_64,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0362,13,97,402,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a21_mk64_luigicircuit,,info_a21_mk64_luigicircuit,,,,,,,,,,,,,,,,info_a21_mk64_luigicircuit,stream_a21_mk64_luigicircuit,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a21_mk64_luigicircuit,a21_mk64_luigicircuit,,,,,1,00:00:28.766,400,,00:00:07.608,,,,,,a21_mk64_luigicircuit,21421,1028223,115334,5536020,115337,5536194,48000,2.6,Resources\Game\stream;\sound\bgm\bgm_a21_mk64_luigicircuit.nus3audio,Core,
ui_bgm_a22_mkds_waluigipinball,set_a22_mkds_waluigipinball,Waluigi Pinball - Mario Kart DS,Arrangement Supervisor: Kentaro Ishizaka,"Composition: Nintendo
Arrangement: HAL Laboratory, Inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mario_kart_ds,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0364,14,99,405,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a22_mkds_waluigipinball,,info_a22_mkds_waluigipinball,,,,,,,,,,,,,,,,info_a22_mkds_waluigipinball,stream_a22_mkds_waluigipinball,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a22_mkds_waluigipinball,a22_mkds_waluigipinball,,,,,1,00:00:07.859,400,00:00:01.579,00:00:08.206,,,,,,a22_mkds_waluigipinball,6631,318295,82651,3967267,82654,3967404,48000,3.5,Resources\Game\stream;\sound\bgm\bgm_a22_mkds_waluigipinball.nus3audio,Core,
ui_bgm_a23_mkdd_rainbowroad,set_a23_mkdd_rainbowroad,Rainbow Road - Mario Kart: Double Dash!!,,Composition and arrangement Copyright Nintendo,bgm_rarity_0,ui_gametitle_mario_kart_dd,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0363,15,98,404,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a23_mkdd_rainbowroad,,info_a23_mkdd_rainbowroad,,,,,,,,,,,,,,,,info_a23_mkdd_rainbowroad,stream_a23_mkdd_rainbowroad,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a23_mkdd_rainbowroad,a23_mkdd_rainbowroad,,,,,1,00:00:13.221,400,,00:00:06.636,,,,,,a23_mkdd_rainbowroad,7874,377962,87323,4191495,87325,4191576,47999,3.6,Resources\Game\stream;\sound\bgm\bgm_a23_mkdd_rainbowroad.nus3audio,Core,
ui_bgm_a24_smb_chijyou_chika,set_a24_smb_chijyou_chika,Ground Theme / Underground Theme - Super Mario Bros.,Arrangement Supervisor: Tetsuya Shibata,"Composition: Nintendo
Arrangement: Unique Note Co., Ltd.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_mariobros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0560,16,10,208,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a24_smb_chijyou_chika,,info_a24_smb_chijyou_chika,,,,,,,,,,,,,,,,info_a24_smb_chijyou_chika,stream_a24_smb_chijyou_chika,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a24_smb_chijyou_chika,a24_smb_chijyou_chika,,,,,1,00:00:09.338,400,00:00:03.919,00:00:07.973,,,,,,a24_smb_chijyou_chika,4705,225841,114705,5505836,114765,5508726,48000,3,Resources\Game\stream;\sound\bgm\bgm_a24_smb_chijyou_chika.nus3audio,Core,
ui_bgm_a25_smb3_medley,set_a25_smb3_medley,Super Mario Bros. 3 Medley,Arrangement Supervisor: Shota Kageyama,"Composition: Nintendo
Arrangement: GAME FREAK inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_super_mario_bros3,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0569,17,21,218,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a25_smb3_medley,,info_a25_smb3_medley,,,,,,,,,,,,,,,,info_a25_smb3_medley,stream_a25_smb3_medley,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a25_smb3_medley,a25_smb3_medley,,,,,1,00:00:12.345,400,,00:00:03.199,,,,,,a25_smb3_medley,3204,153783,126247,6059859,126257,6060320,47999,2.7,Resources\Game\stream;\sound\bgm\bgm_a25_smb3_medley.nus3audio,Core,
ui_bgm_a26_new2_athletic_chijyou,set_a26_new2_athletic_chijyou,Athletic Theme - New Super Mario Bros. 2,Arrangement Supervisor: Yusuke Takahama,"Composition: Nintendo
Arrangement: TARGET ENTERTAINMENT INC.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_new_super_mario_bros2,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0596,18,52,261,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a26_new2_athletic_chijyou,,info_a26_new2_athletic_chijyou,,,,,,,,,,,,,,,,info_a26_new2_athletic_chijyou,stream_a26_new2_athletic_chijyou,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a26_new2_athletic_chijyou,a26_new2_athletic_chijyou,,,,,1,00:00:02.584,400,00:00:04.550,00:00:09.262,,,,,,a26_new2_athletic_chijyou,20,960,101560,4874879,101569,4875335,48000,3.7,Resources\Game\stream;\sound\bgm\bgm_a26_new2_athletic_chijyou.nus3audio,Core,
ui_bgm_a27_3dl_smb_theme,set_a27_3dl_smb_theme,Ground Theme / Underwater Theme - Super Mario 3D Land,Arrangement Supervisor: Jesahm,"Composition: Nintendo
Arrangement: BANDAI NAMCO Studios Inc.
Composition and arrangement Copyright Nintendo",bgm_rarity_0,ui_gametitle_super_mario_3dland_bros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,0595,19,51,259,True,True,True,False,210,True,1,True,True,True,False,False,,,,set_a27_3dl_smb_theme,mario_3dland_scenelink,info_a27_3dl_smb_theme,info_a27a_3dl_smb_theme_part1,info_a27b_3dl_smb_theme_part2,,,,,,,,,,,,,,info_a27_3dl_smb_theme,stream_a27_3dl_smb_theme,sound_condition_none,sound_condition_process_add,0,0,0,55,0,0,0,55,0,stream_a27_3dl_smb_theme,a27_3dl_smb_theme,,,,,0,00:01:53.965,180,,00:00:03.590,,,,,,a27_3dl_smb_theme,0,0,117231,5627093,117231,5627094,48000,2.6,Resources\Game\stream;\sound\bgm\bgm_a27_3dl_smb_theme.nus3audio,Core,
ui_bgm_a27a_3dl_smb_theme_part1,set_a27a_3dl_smb_theme_part1,ui_bgm_a27a_3dl_smb_theme_part1,,,bgm_rarity_0,ui_gametitle_super_mario_3dland_bros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,,-1,-1,-1,False,False,False,False,0,False,1,False,False,False,False,False,,,,set_a27a_3dl_smb_theme_part1,,info_a27a_3dl_smb_theme_part1,,,,,,,,,,,,,,,,info_a27a_3dl_smb_theme_part1,stream_a27a_3dl_smb_theme_part1,sound_condition_none,sound_condition_process_add,-1,0,380,180,100,0,0,55,0,stream_a27a_3dl_smb_theme_part1,a27a_3dl_smb_theme_part1,,,,,0,,0,,00:00:03.590,,,,,,a27a_3dl_smb_theme_part1,3608,173193,52331,2511911,52341,2512372,48000,2.6,Resources\Game\stream;\sound\bgm\bgm_a27a_3dl_smb_theme_part1.nus3audio,Core,
ui_bgm_a27b_3dl_smb_theme_part2,set_a27b_3dl_smb_theme_part2,ui_bgm_a27b_3dl_smb_theme_part2,,,bgm_rarity_0,ui_gametitle_super_mario_3dland_bros,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,ui_gametitle_none,,-1,-1,-1,False,False,False,False,0,False,1,False,False,False,False,False,,,,set_a27b_3dl_smb_theme_part2,,info_a27b_3dl_smb_theme_part2,,,,,,,,,,,,,,,,info_a27b_3dl_smb_theme_part2,stream_a27b_3dl_smb_theme_part2,sound_condition_none,sound_condition_process_add,-1,0,200,60,20,0,0,55,0,stream_a27b_3dl_smb_theme_part2,a27b_3dl_smb_theme_part2,,,,,0,,0,,,,,,,,a27b_3dl_smb_theme_part2,1151,55244,60346,2896608,60356,2897070,47999,2.6,Resources\Game\stream;\sound\bgm\bgm_a27b_3dl_smb_theme_part2.nus3audio,Core,
